# INSTRUMENT_ID: 1
# OBS_GROUP_ID: 55
# UNIT_ID: None
# RA: 23.427083333333332
# DEC: 3.5434166666666664
# OBS_DATE: 2024-06-27 11:23:19.170000+00:00
# REDSHIFT: None
# REDSHIFT_ERR: None
# REDSHIFT_QUALITY: None
# SPEC_PLOT_FILE: None
# SPEC_DATA_FILE: None
# SPECTRUM_NOTES: None
# REFERENCE: None
# TRANSIENT_ID: 165244
# FOLLOWUP_ID: None
# SPEC_PHASE: None
# RLAP: None
# SNID_PLOT_FILE: None

wavelength,flux,fluxerr
3974.814,2.99738e+00,1.30249e-01
3977.347,2.95994e+00,1.38915e-01
3979.881,2.94549e+00,1.52456e-01
3982.415,3.22337e+00,1.63072e-01
3984.949,2.99524e+00,1.56018e-01
3987.483,3.06715e+00,1.49166e-01
3990.016,2.92789e+00,1.48932e-01
3992.550,3.27383e+00,1.56666e-01
3995.084,3.01142e+00,1.65202e-01
3997.618,2.99975e+00,1.62507e-01
4000.151,2.77071e+00,1.50891e-01
4002.685,2.90650e+00,1.48115e-01
4005.219,2.97876e+00,1.49475e-01
4007.753,2.69777e+00,1.57542e-01
4010.286,2.76601e+00,1.63061e-01
4012.820,3.27196e+00,1.56622e-01
4015.354,2.90687e+00,1.47269e-01
4017.888,3.03187e+00,1.49000e-01
4020.421,3.52597e+00,1.59956e-01
4022.955,3.26630e+00,1.64947e-01
4025.489,3.27463e+00,1.59044e-01
4028.023,3.27863e+00,1.48676e-01
4030.557,3.14337e+00,1.43961e-01
4033.090,3.18242e+00,1.46685e-01
4035.624,3.10516e+00,1.58285e-01
4038.158,2.93661e+00,1.58873e-01
4040.692,2.96481e+00,1.48602e-01
4043.225,3.06473e+00,1.41411e-01
4045.759,3.04663e+00,1.45191e-01
4048.293,3.28268e+00,1.57844e-01
4050.827,3.23634e+00,1.59478e-01
4053.360,3.03333e+00,1.45377e-01
4055.894,3.08126e+00,1.37777e-01
4058.428,2.93458e+00,1.36980e-01
4060.962,2.99195e+00,1.45346e-01
4063.495,3.41038e+00,1.49805e-01
4066.029,2.94079e+00,1.41870e-01
4068.563,3.01037e+00,1.36568e-01
4071.097,2.93890e+00,1.34714e-01
4073.630,3.03676e+00,1.40589e-01
4076.164,2.87239e+00,1.47455e-01
4078.698,2.99635e+00,1.45766e-01
4081.232,2.97319e+00,1.37834e-01
4083.766,2.99806e+00,1.34828e-01
4086.299,3.07962e+00,1.38893e-01
4088.833,2.98996e+00,1.50576e-01
4091.367,2.95540e+00,1.50959e-01
4093.901,3.02948e+00,1.38920e-01
4096.434,2.95813e+00,1.30336e-01
4098.968,2.85144e+00,1.27090e-01
4101.502,2.99280e+00,1.32432e-01
4104.036,3.14651e+00,1.37926e-01
4106.569,3.31349e+00,1.36898e-01
4109.103,2.98700e+00,1.29649e-01
4111.637,3.09470e+00,1.30925e-01
4114.171,3.17433e+00,1.39070e-01
4116.704,3.21839e+00,1.47482e-01
4119.238,3.14500e+00,1.43656e-01
4121.772,2.94276e+00,1.32821e-01
4124.306,3.02421e+00,1.29666e-01
4126.840,2.97660e+00,1.32832e-01
4129.373,2.96289e+00,1.40463e-01
4131.907,2.69302e+00,1.37864e-01
4134.441,3.00439e+00,1.29721e-01
4136.975,2.99448e+00,1.27139e-01
4139.508,3.18274e+00,1.31160e-01
4142.042,3.11089e+00,1.35700e-01
4144.576,3.04174e+00,1.37566e-01
4147.110,2.91942e+00,1.31265e-01
4149.643,2.85160e+00,1.24254e-01
4152.177,3.02214e+00,1.23656e-01
4154.711,3.01650e+00,1.29130e-01
4157.245,2.99542e+00,1.36598e-01
4159.778,2.67998e+00,1.33826e-01
4162.312,2.87453e+00,1.27756e-01
4164.846,3.03216e+00,1.25366e-01
4167.380,3.03832e+00,1.28730e-01
4169.913,2.96676e+00,1.35933e-01
4172.447,3.01964e+00,1.33980e-01
4174.981,2.78877e+00,1.21611e-01
4177.515,2.94755e+00,1.18417e-01
4180.049,2.94881e+00,1.20871e-01
4182.582,2.93812e+00,1.28164e-01
4185.116,2.67984e+00,1.29614e-01
4187.650,2.72104e+00,1.22930e-01
4190.184,2.66633e+00,1.17095e-01
4192.717,2.90138e+00,1.18696e-01
4195.251,2.71898e+00,1.23179e-01
4197.785,2.76119e+00,1.26240e-01
4200.319,2.72668e+00,1.21729e-01
4202.852,2.89568e+00,1.16130e-01
4205.386,2.62437e+00,1.15003e-01
4207.920,2.66674e+00,1.20323e-01
4210.454,2.83534e+00,1.31287e-01
4212.987,2.82924e+00,1.30443e-01
4215.521,2.59226e+00,1.17957e-01
4218.055,2.70307e+00,1.14513e-01
4220.589,2.93355e+00,1.16992e-01
4223.123,2.79183e+00,1.21677e-01
4225.656,2.76060e+00,1.20014e-01
4228.190,2.81558e+00,1.15079e-01
4230.724,2.74454e+00,1.12604e-01
4233.258,2.59262e+00,1.12847e-01
4235.791,2.72345e+00,1.18587e-01
4238.325,2.77511e+00,1.23404e-01
4240.859,2.72148e+00,1.20223e-01
4243.393,2.80199e+00,1.13887e-01
4245.926,2.89190e+00,1.11964e-01
4248.460,2.87637e+00,1.14179e-01
4250.994,2.82667e+00,1.22460e-01
4253.528,2.62546e+00,1.21490e-01
4256.061,2.82134e+00,1.14183e-01
4258.595,2.66447e+00,1.08612e-01
4261.129,2.87406e+00,1.11036e-01
4263.663,2.88138e+00,1.21232e-01
4266.196,3.00026e+00,1.23992e-01
4268.730,2.66106e+00,1.13421e-01
4271.264,2.54460e+00,1.04888e-01
4273.798,2.80318e+00,1.06797e-01
4276.332,2.97079e+00,1.15542e-01
4278.865,3.00615e+00,1.21733e-01
4281.399,2.70308e+00,1.15022e-01
4283.933,2.58145e+00,1.06312e-01
4286.467,2.73528e+00,1.04152e-01
4289.000,2.80377e+00,1.07509e-01
4291.534,2.83330e+00,1.15081e-01
4294.068,2.85490e+00,1.15276e-01
4296.602,2.77471e+00,1.04220e-01
4299.135,2.73828e+00,9.75950e-02
4301.669,2.80211e+00,9.78964e-02
4304.203,2.70178e+00,1.03523e-01
4306.737,2.80928e+00,1.04756e-01
4309.270,2.91712e+00,9.89325e-02
4311.804,2.85618e+00,9.78976e-02
4314.338,2.72722e+00,1.03061e-01
4316.872,2.72922e+00,1.13968e-01
4319.406,2.67886e+00,1.18972e-01
4321.939,2.71233e+00,1.11958e-01
4324.473,2.63814e+00,1.02326e-01
4327.007,2.60338e+00,1.01841e-01
4329.541,2.72174e+00,1.09835e-01
4332.074,2.48840e+00,1.17785e-01
4334.608,2.54425e+00,1.14733e-01
4337.142,2.69745e+00,1.03739e-01
4339.676,2.72102e+00,9.79962e-02
4342.209,2.69646e+00,1.01671e-01
4344.743,2.45923e+00,1.11515e-01
4347.277,2.82445e+00,1.15483e-01
4349.811,2.73899e+00,1.08409e-01
4352.344,2.61635e+00,1.02722e-01
4354.878,2.85939e+00,1.07588e-01
4357.412,2.56005e+00,1.18372e-01
4359.946,2.68362e+00,1.24745e-01
4362.480,2.71822e+00,1.16842e-01
4365.013,2.69568e+00,1.08071e-01
4367.547,2.56241e+00,1.06236e-01
4370.081,2.46941e+00,1.08904e-01
4372.615,2.87028e+00,1.15671e-01
4375.148,2.82038e+00,1.13409e-01
4377.682,2.93757e+00,1.06702e-01
4380.216,2.67934e+00,1.01781e-01
4382.750,2.82198e+00,1.02667e-01
4385.283,2.62715e+00,1.08309e-01
4387.817,2.46747e+00,1.10038e-01
4390.351,2.69965e+00,1.05075e-01
4392.885,2.49906e+00,1.00932e-01
4395.418,2.38510e+00,1.02203e-01
4397.952,2.66117e+00,1.09854e-01
4400.486,2.65911e+00,1.13330e-01
4403.020,2.59263e+00,1.07292e-01
4405.553,2.75251e+00,1.01501e-01
4408.087,2.68245e+00,1.02339e-01
4410.621,2.80200e+00,1.09161e-01
4413.155,2.52860e+00,1.15747e-01
4415.689,2.74193e+00,1.13915e-01
4418.222,2.84453e+00,1.07455e-01
4420.756,2.75497e+00,1.04862e-01
4423.290,2.72366e+00,1.07130e-01
4425.824,2.89059e+00,1.23167e-01
4428.357,2.76503e+00,1.33587e-01
4430.891,2.81512e+00,1.06914e-01
4433.425,2.69715e+00,1.03159e-01
4435.959,2.72008e+00,1.04589e-01
4438.492,2.73115e+00,1.11853e-01
4441.026,2.72612e+00,1.15167e-01
4443.560,2.77393e+00,1.09804e-01
4446.094,2.71571e+00,1.04156e-01
4448.627,2.65794e+00,1.03854e-01
4451.161,2.76339e+00,1.08679e-01
4453.695,2.78197e+00,1.13531e-01
4456.229,2.72375e+00,1.09686e-01
4458.763,2.58410e+00,1.02132e-01
4461.296,2.63984e+00,1.00860e-01
4463.830,2.63370e+00,1.05121e-01
4466.364,2.56239e+00,1.13399e-01
4468.898,2.72033e+00,1.14855e-01
4471.431,2.50964e+00,1.06130e-01
4473.965,2.54916e+00,1.03026e-01
4476.499,2.56966e+00,1.04899e-01
4479.033,2.58907e+00,1.10143e-01
4481.566,2.60110e+00,1.12143e-01
4484.100,2.51981e+00,1.07042e-01
4486.634,2.49594e+00,1.02340e-01
4489.168,2.50806e+00,1.02344e-01
4491.701,2.57777e+00,1.07102e-01
4494.235,2.68492e+00,1.12973e-01
4496.769,2.52933e+00,1.10015e-01
4499.303,2.44250e+00,1.02991e-01
4501.836,2.40074e+00,1.01747e-01
4504.370,2.37062e+00,1.05208e-01
4506.904,2.50367e+00,1.14065e-01
4509.438,2.48978e+00,1.13632e-01
4511.972,2.40770e+00,1.04143e-01
4514.505,2.59881e+00,1.00453e-01
4517.039,2.55891e+00,1.01409e-01
4519.573,2.65407e+00,1.08267e-01
4522.107,2.62403e+00,1.10350e-01
4524.640,2.43168e+00,1.02879e-01
4527.174,2.69853e+00,9.76096e-02
4529.708,2.64759e+00,9.69078e-02
4532.242,2.44562e+00,1.00930e-01
4534.775,2.69455e+00,1.07232e-01
4537.309,2.49436e+00,1.04286e-01
4539.843,2.58652e+00,9.89773e-02
4542.377,2.44196e+00,9.66378e-02
4544.910,2.56447e+00,9.97376e-02
4547.444,2.45901e+00,1.05946e-01
4549.978,2.34166e+00,1.04253e-01
4552.512,2.50488e+00,9.72624e-02
4555.046,2.46562e+00,9.43251e-02
4557.579,2.42192e+00,9.65718e-02
4560.113,2.43857e+00,1.02965e-01
4562.647,2.48312e+00,1.04954e-01
4565.181,2.56055e+00,9.88704e-02
4567.714,2.51650e+00,9.39516e-02
4570.248,2.54607e+00,9.42534e-02
4572.782,2.47173e+00,9.91145e-02
4575.316,2.51508e+00,1.03239e-01
4577.849,2.59984e+00,9.92895e-02
4580.383,2.50129e+00,9.21592e-02
4582.917,2.35770e+00,9.01601e-02
4585.451,2.46823e+00,9.40043e-02
4587.984,2.47740e+00,1.00864e-01
4590.518,2.53487e+00,1.00903e-01
4593.052,2.55623e+00,9.29165e-02
4595.586,2.27263e+00,8.87642e-02
4598.119,2.46822e+00,9.10038e-02
4600.653,2.42810e+00,9.72805e-02
4603.187,2.53462e+00,9.86591e-02
4605.721,2.63852e+00,9.38342e-02
4608.255,2.40305e+00,8.91837e-02
4610.788,2.51598e+00,9.00337e-02
4613.322,2.56277e+00,9.48586e-02
4615.856,2.47003e+00,9.83920e-02
4618.390,2.37300e+00,9.42308e-02
4620.923,2.31352e+00,8.87509e-02
4623.457,2.49573e+00,8.85786e-02
4625.991,2.46055e+00,9.14019e-02
4628.525,2.45856e+00,9.73305e-02
4631.058,2.51191e+00,9.53516e-02
4633.592,2.51558e+00,8.89683e-02
4636.126,2.59373e+00,8.59359e-02
4638.660,2.56243e+00,8.80382e-02
4641.193,2.69547e+00,9.49238e-02
4643.727,2.49095e+00,9.52063e-02
4646.261,2.51773e+00,8.85428e-02
4648.795,2.29075e+00,8.45693e-02
4651.329,2.44384e+00,8.60039e-02
4653.862,2.39005e+00,9.09003e-02
4656.396,2.38995e+00,9.67443e-02
4658.930,2.55851e+00,9.40464e-02
4661.464,2.42908e+00,8.59828e-02
4663.997,2.28539e+00,8.33753e-02
4666.531,2.34876e+00,8.60713e-02
4669.065,2.37809e+00,9.09153e-02
4671.599,2.18508e+00,8.99123e-02
4674.132,2.16722e+00,8.39707e-02
4676.666,2.22170e+00,8.18221e-02
4679.200,2.36246e+00,8.37339e-02
4681.734,2.02594e+00,8.89126e-02
4684.267,2.31292e+00,9.06760e-02
4686.801,2.16982e+00,8.44726e-02
4689.335,2.21073e+00,8.09303e-02
4691.869,2.10369e+00,8.12032e-02
4694.402,2.22416e+00,8.61840e-02
4696.936,2.27968e+00,8.88968e-02
4699.470,2.33947e+00,8.43041e-02
4702.004,2.09494e+00,7.83074e-02
4704.538,2.13920e+00,7.78415e-02
4707.071,2.32942e+00,8.24132e-02
4709.605,2.18181e+00,8.67767e-02
4712.139,2.17286e+00,8.53239e-02
4714.673,2.12429e+00,7.97816e-02
4717.206,2.00332e+00,7.76821e-02
4719.740,2.09125e+00,8.06049e-02
4722.274,1.97553e+00,8.61335e-02
4724.808,2.02802e+00,8.63460e-02
4727.341,2.17761e+00,8.05945e-02
4729.875,2.21066e+00,7.67515e-02
4732.409,2.13465e+00,7.71730e-02
4734.943,2.10563e+00,8.22881e-02
4737.476,2.15548e+00,8.46177e-02
4740.010,2.13285e+00,8.12583e-02
4742.544,2.08830e+00,7.70615e-02
4745.078,2.04761e+00,7.65139e-02
4747.612,2.12900e+00,8.03930e-02
4750.145,2.23447e+00,8.45977e-02
4752.679,2.17760e+00,8.24688e-02
4755.213,1.93876e+00,7.58951e-02
4757.747,2.12239e+00,7.45660e-02
4760.280,2.15883e+00,7.71247e-02
4762.814,2.05080e+00,8.18126e-02
